,id,filename,vector,label
0,0,null,"[0.5918269552204642, 1.110212690066609, 0.11369414492926992, 1.2733248012347582]",0
1,1,null,"[4.470058765621799, 1.90258530605375, 0.5052621648373301, 4.953640080250734]",1
2,2,null,"[2.1839470711419686, 6.209413046364256, -0.7100193664522969, 0.18608872648891528]",2
3,3,null,"[2.712106035144638, 4.137612608557798, -2.9113087411589875, 6.536880253147172]",3
4,4,null,"[8.514614813172091, -0.0921389118357947, 4.515981432557619, 3.262676589752398]",4
5,5,null,"[7.613270911766549, 4.055550788908848, 8.035023863204598, 1.3097377503310348]",5
6,6,null,"[-5.254960345001592, -5.432713191226778, 7.473147112933278, -3.562006474900439]",6
7,7,null,"[-15.857727708588914, 10.870873403618253, 3.275697314045801, 3.2257929318084497]",7
8,8,null,"[10.250740738774176, -0.4291749686113171, 7.234131430214114, 7.123120248699209]",8
9,9,null,"[15.830414869469438, -1.6061744520683288, 14.142585628835697, -4.526679679958164]",9
10,10,null,"[0.5820290742703803, -1.7499615938064552, -0.3880535508027127, 0.530090626537299]",0
11,11,null,"[1.9945650552380716, -0.4777344182969312, 2.8369036942345387, 2.2956961931342277]",1
12,12,null,"[0.47825993035034164, 3.1386587047172094, 3.703170292332637, 0.34603902099768535]",2
13,13,null,"[0.2147424441889676, 2.7069403332881437, 6.458609238692913, -1.4377983833542274]",3
14,14,null,"[-1.5883441196003867, 7.456348316292054, 4.792639715878032, -3.2262051188011363]",4
15,15,null,"[0.5212223864199155, -5.728797645290189, 1.862885053000337, -1.327094313871962]",5
16,16,null,"[14.276689168095684, 17.73991397249923, 15.165202959233017, 12.1759329275137]",6
17,17,null,"[7.505838609844941, 0.06410200189070814, -2.321137970017258, 7.591127379399381]",7
18,18,null,"[7.967595772479384, 7.704047583660331, 9.891844611104101, 18.70540300474024]",8
19,19,null,"[6.601744297188986, 10.711050855995808, -6.019917956289472, 4.00026671108079]",9
20,20,null,"[0.5167130800865856, -0.016435559012063422, 0.7661706440779115, 0.3863783775686535]",0
21,21,null,"[0.2734925184340633, 0.7519365687640365, 0.7395320794548219, -1.9397476875343949]",1
22,22,null,"[-0.4132813315373012, -2.4275803832804783, 3.6093092860543203, 6.128612447788333]",2
23,23,null,"[1.391620226640289, 5.566220790370691, 3.594333262832751, 4.128544155005921]",3
24,24,null,"[9.795952440086657, 8.219397408460432, 4.459132122253559, -4.964812542968364]",4
25,25,null,"[5.368704087442506, 0.38124825071577817, 9.442603378096315, -9.206384566766605]",5
26,26,null,"[17.440526075089327, 11.435505424590495, 3.963430657076315, 1.2901365892319356]",6
27,27,null,"[13.394820901882591, -4.979058435181406, 3.140029941324994, 15.537061976953161]",7
